Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,nombre_zh,descripcion_zh,categoria,categoria_es,Canal,notas
cable-usb-type-c-100cm-3a,Cable USB Type-C 100cm / 3A,"Cable USB Type-C 100cm / 3A

📦 Características:
• USB Type-C
• 100cm
• 3A

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,电子数码,TRUE,VB004E548C,110.00,10,VB004E548C.jpg,USB数据线,,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 110，请在审核台确认
spray-de-fragancia-88ml-con-tapa-rosa-ideal-para-el-d-a-a-d-,"Spray de fragancia 88ml con tapa rosa, ideal para el día a día","Spray de fragancia 88ml con tapa rosa, ideal para el día a día

📦 Características:
• Capacidad 88mL
• Tapa esférica rosada
• Spray aromático

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB00710E55,190.00,10,VB00710E55.jpg,莫吉托香氛喷雾,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",
cinta-m-trica-wincha-5m-x-19mm-abs-resistente,Cinta métrica / wincha 5m x 19mm ABS resistente,"Cinta métrica / wincha 5m x 19mm ABS resistente

📦 Características:
• 5 metros
• 19mm ancho
• Grosor 0.12mm
• Material ABS+TPR

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB007BA1E2,150.00,10,VB007BA1E2.jpg,钢卷尺,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 150，请在审核台确认
adorno-cer-mico-dorado-decoraci-n-pieza-nica,Adorno cerámico dorado / decoración / pieza única,"Adorno cerámico dorado / decoración / pieza única

📦 Características:
• color dorado
• Adorno
• Material cerámico

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Decoración del Hogar,家居装饰,TRUE,VB0087DE44,95.00,10,VB0087DE44.jpg,金色苹果摆件,,家居装饰,Decoración del Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 95，请在审核台确认
manguera-met-lica-tubo-flexible-para-ba-o-2-metros,Manguera metálica / tubo flexible para baño 2 metros,"Manguera metálica / tubo flexible para baño 2 metros

📦 Características:
• 2 metros
• material metálico
• Para baños

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Baño y Sanitarios,浴室卫浴,TRUE,VB00E643E7,145.00,10,VB00E643E7.jpg,金属软管,,浴室卫浴,Baño y Sanitarios,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 145，请在审核台确认
colgante-de-madera-con-letras-adorno-con-cuerda,Colgante de madera con letras / Adorno con cuerda,"Colgante de madera con letras / Adorno con cuerda

📦 Características:
• De madera
• Decoración con letras
• Cuerda

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,,,TRUE,VB00F2992E,315.00,10,VB00F2992E.jpg,木珠字母挂饰,,,,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 130，请在审核台确认
m-quina-para-waffles-waflera-1000w-antiadherente-3-a-os,Máquina para waffles / waflera 1000W antiadherente 3 años,"Máquina para waffles / waflera 1000W antiadherente 3 años

📦 Características:
• 1000W
• revestimiento antiadherente
• Calentamiento doble cara
• Fácil de limpiar
• Garantía de 3 años

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Cocina y Hogar,厨房家居,TRUE,VB01127056,1330.00,10,VB01127056.jpg,华夫饼机,,厨房家居,Cocina y Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 1330，请在审核台确认
vaselina-para-beb-crema-hidratante-rosa-sin-especificar-tama,Vaselina para bebé / crema hidratante rosa sin especificar tamaño,"Vaselina para bebé / crema hidratante rosa sin especificar tamaño

📦 Características:
• Capacidad no especificada
• Empaque rosado
• Uso exclusivo para bebés

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB015CF879,95.00,10,VB015CF879.jpg,婴儿凡士林,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 95，请在审核台确认
llave-de-agua-grifo-met-lico-con-tefl-n-para-tuber-as,Llave de agua / grifo metálico con teflón para tuberías,"Llave de agua / grifo metálico con teflón para tuberías

📦 Características:
• Incluye cinta de sellado
• material metálico
• Para instalación de tuberías

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB01982BAF,195.00,10,VB01982BAF.jpg,水龙头套装,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 20，请在审核台确认
licuadora-batidora-multifuncional-vidrio-2l-300w-1000w,Licuadora / batidora multifuncional vidrio 2L 300W-1000W,"Licuadora / batidora multifuncional vidrio 2L 300W-1000W

📦 Características:
• Capacidad de 2L
• Rango de potencia 300W-1000W
• material de vidrio
• multifuncional

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Cocina y Hogar,厨房家居,TRUE,VB01E6F1F1,1120.00,10,VB01E6F1F1.jpg,多功能料理机,,厨房家居,Cocina y Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 120，请在审核台确认 | 价格经二次OCR修正：120 → RD$ 1120
decoraci-n-de-madera-negra-coraz-n-rojo,Decoración de madera negra corazón rojo,"Decoración de madera negra corazón rojo

📦 Características:
• Negro
• De madera
• Con corazón rojo

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Decoración del Hogar,家居装饰,TRUE,VB0222BAFC,195.00,10,VB0222BAFC.jpg,爱心装饰牌,,家居装饰,Decoración del Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 195，请在审核台确认
spray-de-perfume-masculino-80ml-botella-transparente-con-ato,"Spray de perfume masculino 80ml, botella transparente con atomizador","Spray de perfume masculino 80ml, botella transparente con atomizador

📦 Características:
• 80ml
• Cuerpo de botella transparente
• Con boquilla
• Fragancia masculina

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB0281153C,180.00,10,VB0281153C.jpg,香氛喷雾,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",
aud-fonos-auriculares-usb-c,Audífonos / auriculares USB-C,"Audífonos / auriculares USB-C

📦 Características:
• puerto USB-C

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,电子数码,TRUE,VB0333E048,195.00,10,VB0333E048.jpg,USB-C耳机,,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 195，请在审核台确认
bloqueador-solar-protector-solar-spf-60-uva-uvb-100ml,Bloqueador solar / protector solar SPF 60 UVA/UVB 100ml,"Bloqueador solar / protector solar SPF 60 UVA/UVB 100ml

📦 Características:
• SPF 60
• PA+++
• 100ml
• protección UVA/UVB

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB0370E791,95.00,10,VB0370E791.jpg,防晒霜,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 95，请在审核台确认
spray-de-fragancia-88ml-dise-o-dorado-y-rojo-ideal-para-uso-,Spray de fragancia 88ml diseño dorado y rojo ideal para uso diario,"Spray de fragancia 88ml diseño dorado y rojo ideal para uso diario

📦 Características:
• Capacidad 88mL
• diseño dorado y rojo
• Spray aromático

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB0390B224,160.00,10,VB0390B224.jpg,香氛喷雾,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",
set-de-fragancia-y-cuidado-personal-en-caja-rosada-por-solo-,Set de fragancia y cuidado personal en caja rosada por solo $4.95,"Set de fragancia y cuidado personal en caja rosada por solo $4.95

📦 Características:
• Empaque rosado
• Incluye perfume y productos para el cuidado de la piel
• Precio $4.95

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB03AA982C,495.00,10,VB03AA982C.jpg,香氛礼盒,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",
limpiador-facial-jab-n-l-quido-120ml-con-vitamina-c,Limpiador facial / jabón líquido 120ml con vitamina C,"Limpiador facial / jabón líquido 120ml con vitamina C

📦 Características:
• 120ml
• Vitamina C de naranja
• apto para todo tipo de piel
• limpieza suave con aminoácidos

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB03C3D39B,145.00,10,VB03C3D39B.jpg,氨基酸洁面,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 145，请在审核台确认
llave-de-cocina-grifo-360-giratoria-ahorradora-de-agua,Llave de cocina / grifo 360° giratoria ahorradora de agua,"Llave de cocina / grifo 360° giratoria ahorradora de agua

📦 Características:
• Rotación de 360 grados
• 1/2 pulgada conexión
• Diseño ahorrador de agua

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB03CD2FF5,245.00,10,VB03CD2FF5.jpg,厨房水龙头,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 245，请在审核台确认
figura-decorativa-de-metal-mu-eco-met-lico,Figura decorativa de metal / muñeco metálico,"Adorno de ciervo metálico / figurita en plata 1 unidad

📦 Características:
• 1 unidad
• color plateado
• material metálico

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Decoración del Hogar,家居装饰,TRUE,VB03CFF295,320.00,10,VB03CFF295.jpg,金属摆件,,家居装饰,Decoración del Hogar,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 320，请在审核台确认
tornillos-screws-3-5x20mm-plateados-cabeza-phillips,Tornillos / screws 3.5x20mm plateados cabeza Phillips,"Tornillos / screws 3.5x20mm plateados cabeza Phillips

📦 Características:
• 3.5x20mm
• color plateado
• punta Phillips

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Herramientas y Ferretería,工具五金,TRUE,VB03D90162,40.00,10,VB03D90162.jpg,螺丝钉,,工具五金,Herramientas y Ferretería,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 10，请在审核台确认
depresores-de-lengua-de-madera-100-unidades-6-pulgadas,"Depresores de lengua de madera, 100 unidades, 6 pulgadas","Paletas para lengua / depresores de madera 100 unidades 6 pulgadas

📦 Características:
• 100 hojas
• Longitud de 6 pulgadas

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Belleza y Cuidado Personal,美容个护,TRUE,VB03F505CF,175.00,10,VB03F505CF.jpg,压舌板,,美容个护,Belleza y Cuidado Personal,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 175，请在审核台确认
bocina-bluetooth-parlante-usb-tws-con-radio-y-aux,Bocina Bluetooth / parlante USB TWS con radio y AUX,"Bocina Bluetooth / parlante USB TWS con radio y AUX

📦 Características:
• reproducción USB
• Modo radio
• Puerto AUX
• función TWS

✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,电子数码,TRUE,VB04A55281,675.00,10,VB04A55281.jpg,蓝牙音箱,,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 675，请在审核台确认
