rank,score,sku,handle,title,category,subcategory,price_dop,inventory,image_count,description_chars,link,brand,gtin,mpn,identifier_status
1,85.9,VBAP038,suculentas-artificiales-en-macetas-de-pina,Suculentas artificiales en macetas de pina,Hogar,Otros para el Hogar,195.0,10,5,148,https://vivabien.xyz/producto/suculentas-artificiales-en-macetas-de-pina,,,,needs_business_confirmation
2,85.8,VBAP380,accesorios-para-el-cabello-con-mariposas,Accesorios para el cabello con mariposas,Más categorías,Otros,60.0,10,5,146,https://vivabien.xyz/producto/accesorios-para-el-cabello-con-mariposas,,,,needs_business_confirmation
3,85.2,VBAP091,mesa-de-centro-de-vidrio,Mesa de centro de vidrio,Hogar,Muebles,3300.0,10,5,130,https://vivabien.xyz/producto/mesa-de-centro-de-vidrio,,,,needs_business_confirmation
4,81.6,VBAP047,escritorio-con-estanteria-lateral,Escritorio con estanteria lateral,Hogar,Muebles,3150.0,10,4,139,https://vivabien.xyz/producto/escritorio-con-estanteria-lateral,,,,needs_business_confirmation
5,81.5,VBAP030,bacinilla-infantil-con-descarga,Bacinilla infantil con descarga,Hogar,Otros para el Hogar,1155.0,10,4,137,https://vivabien.xyz/producto/bacinilla-infantil-con-descarga,,,,needs_business_confirmation
6,81.3,VBAP120,lampara-de-pared-recargable,Lampara de pared recargable,Tecnología,Iluminación,1125.0,10,4,133,https://vivabien.xyz/producto/lampara-de-pared-recargable,,,,needs_business_confirmation
7,80.8,VBDBF1E46E,florero-jarr-n-blanco-cer-mico-dise-o-calado-38cm,Florero / jarrón blanco cerámico diseño calado 38cm,Hogar,Adornos Decorativos,1995.0,10,3,219,https://vivabien.xyz/producto/florero-jarr-n-blanco-cer-mico-dise-o-calado-38cm,,,,needs_business_confirmation
8,80.8,VBAP289,lampara-de-mesa,Lámpara de mesa,Tecnología,Iluminación,520.0,10,4,121,https://vivabien.xyz/producto/lampara-de-mesa,,,,needs_business_confirmation
9,80.7,VBAA70EB67,planta-decorativa-60cm-3-bolas-pl-stico-verde,Planta decorativa 60cm 3 bolas plástico verde,Hogar,Plantas y Flores,1315.0,10,3,217,https://vivabien.xyz/producto/planta-decorativa-60cm-3-bolas-pl-stico-verde,,,,needs_business_confirmation
10,80.6,VBD46D28A4,florero-jarr-n-cer-mico-dorado-con-tapa-40cm,Florero / jarrón cerámico dorado con tapa 40cm,Hogar,Adornos Decorativos,1530.0,10,3,215,https://vivabien.xyz/producto/florero-jarr-n-cer-mico-dorado-con-tapa-40cm,,,,needs_business_confirmation
11,78.4,VBAP375,armario-para-comedor-mubl-arma-2509-80-x-38-x-170-cm,"Armario para comedor MUBL-ARMA-2509, 80 x 38 x 170 cm",Hogar,Organización,4950.0,10,3,159,https://vivabien.xyz/producto/armario-para-comedor-mubl-arma-2509-80-x-38-x-170-cm,,,,needs_business_confirmation
12,78.0,VBAP166,panel-decorativo-de-pared-tipo-liston-madera,Panel decorativo de pared tipo listón madera,Hogar,Adornos Decorativos,375.0,10,3,150,https://vivabien.xyz/producto/panel-decorativo-de-pared-tipo-liston-madera,,,,needs_business_confirmation
13,77.6,VBAP006,pistola-hidrolavadora-inalambrica,Pistola hidrolavadora inalambrica,Ferretería,Otros de Ferretería,2110.0,10,3,139,https://vivabien.xyz/producto/pistola-hidrolavadora-inalambrica,,,,needs_business_confirmation
14,77.4,VBAP267,paneles-decorativos-de-madera,Paneles decorativos de madera,Hogar,Adornos Decorativos,435.0,10,3,135,https://vivabien.xyz/producto/paneles-decorativos-de-madera,,,,needs_business_confirmation
